26-06-2025 /\ 09:31:10 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.878644 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','09:31:10','2025-06-26 09:31:10','','','','','','122','0.878644') 
26-06-2025 /\ 10:21:36 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.910212 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:21:36','2025-06-26 10:21:36','','','','','','122','0.910212') 
26-06-2025 /\ 10:23:35 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.920735 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:23:35','2025-06-26 10:23:35','','','','','','119','0.920735') 
26-06-2025 /\ 10:25:37 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.957564 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:25:37','2025-06-26 10:25:37','','','','','','122','0.957564') 
26-06-2025 /\ 10:27:38 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.894428 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:27:38','2025-06-26 10:27:38','','','','','','121','0.894428') 
26-06-2025 /\ 10:29:40 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.868121 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:29:40','2025-06-26 10:29:40','','','','','','122','0.868121') 
26-06-2025 /\ 10:31:42 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.899689 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:31:42','2025-06-26 10:31:42','','','','','','122','0.899689') 
26-06-2025 /\ 10:33:41 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.931257 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:33:41','2025-06-26 10:33:41','','','','','','119','0.931257') 
26-06-2025 /\ 10:35:42 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.899689 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:35:42','2025-06-26 10:35:42','','','','','','121','0.899689') 
26-06-2025 /\ 10:37:44 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.894428 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:37:44','2025-06-26 10:37:44','','','','','','122','0.894428') 
26-06-2025 /\ 10:39:44 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.889166 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:39:44','2025-06-26 10:39:44','','','','','','120','0.889166') 
26-06-2025 /\ 10:41:47 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.894428 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:41:47','2025-06-26 10:41:47','','','','','','123','0.894428') 
26-06-2025 /\ 10:43:48 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.899689 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:43:48','2025-06-26 10:43:48','','','','','','121','0.899689') 
26-06-2025 /\ 10:45:48 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.925996 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:45:48','2025-06-26 10:45:48','','','','','','120','0.925996') 
26-06-2025 /\ 10:47:51 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.925996 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:47:51','2025-06-26 10:47:51','','','','','','123','0.925996') 
26-06-2025 /\ 10:49:50 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.925996 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:49:50','2025-06-26 10:49:50','','','','','','119','0.925996') 
26-06-2025 /\ 10:51:52 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.904950 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:51:52','2025-06-26 10:51:52','','','','','','122','0.904950') 
26-06-2025 /\ 10:53:54 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.799724 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:53:54','2025-06-26 10:53:54','','','','','','122','0.799724') 
26-06-2025 /\ 10:55:56 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.915473 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:55:56','2025-06-26 10:55:56','','','','','','122','0.915473') 
26-06-2025 /\ 10:57:55 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.925996 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:57:55','2025-06-26 10:57:55','','','','','','119','0.925996') 
26-06-2025 /\ 10:59:57 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.894428 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:59:57','2025-06-26 10:59:57','','','','','','122','0.894428') 
26-06-2025 /\ 11:05:56 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.889166 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','11:05:56','2025-06-26 11:05:56','','','','','','359','0.889166') 
26-06-2025 /\ 11:07:59 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.904950 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','11:07:59','2025-06-26 11:07:59','','','','','','123','0.904950') 
26-06-2025 /\ 11:09:58 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.857598 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','11:09:58','2025-06-26 11:09:58','','','','','','119','0.857598') 
26-06-2025 /\ 11:11:59 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.904950 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','11:11:59','2025-06-26 11:11:59','','','','','','121','0.904950') 
